Occupation Title,Occupation Code,Employment 2019,Employment 2029,"Employment Change, 2019-2029","Employment Percent Change, 2019-2029","Occupational Openings, 2019-2029 Annual Average",Median Annual Wage 2019,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
"Life, physical, and social science technicians, all other    * Meteorological Aide* Polygraph Examiner",19-4099,71,74.3,3.4,4.7,8.3,"50,550",Associate's degree,4,None,4,None,6
Private detectives and investigators    * Certified Legal Investigator* Licensed Private Investigator* Loss Prevention Detective* Private Detective* Private Eye* Private Investigator* Skip Tracer* Store Detective,33-9021,36.2,39.2,3,8.3,3.3,"50,510",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
"Miscellaneous first-line supervisors, protective service workers",33-1090,85.7,87,1.3,1.6,7.8,"50,490",High school diploma or equivalent,7,Less than 5 years,2,None,6
Clergy    * Cantor* Children's Pastor* College Chaplain* Hebrew Cantor* Hospital Chaplain* Imam* Minister* Parish Priest* Pastor* Priest* Rabbi* Reverend* Vicar* Youth Pastor,21-2011,243.9,253.6,9.7,4,24.4,"50,400",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
"Sheet metal workers    * Air Conditioning Sheet Metal Installer* Heating, Ventilation, and Air Conditioning  (HVAC) Sheet Metal Installer* Sheet Metal Duct Installer* Sheet Metal Fabricator* Sheet Metal Former* Sheet Metal Installer* Sheet Metal Layout Mechanic* Sheet Metal Layout Worker* Sheet Metal Worker* Tinsmith",47-2211,137.7,139.5,1.8,1.3,12.7,"50,400",High school diploma or equivalent,7,None,4,Apprenticeship,2
"Underground mining machine operators and extraction workers, all other",47-5098,14.1,15.4,1.3,9.3,1.8,"50,160",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Bridge and lock tenders    * Bridge Operator* Bridge Tender* Dam Tender* Lighthouse Keeper* Lock and Dam Operator,53-6011,3.3,3.3,0,1.3,0.3,"50,110",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Commercial divers    * Commercial Diver* Marine Diver* Non Destructive Testing Underwater Welder* Salvage Diver* Scuba Diver* Submarine Diver* Underwater Welder,49-9092,4,4.2,0.2,4.7,0.4,"49,980",Postsecondary nondegree award,5,None,4,Moderate-term on-the-job training,4
"Layout workers, metal and plastic    * Shipfitter* Shipfitter Apprentice",51-4192,8.5,7.6,-0.9,-10.2,0.6,"49,940",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Statistical assistants    * Actuarial Assistant* Actuary Clerk* Data Analysis Assistant* Statistical Clerk* Tariff Compiling Clerk,43-9111,10.8,11.5,0.7,6.4,1.3,"49,870",Bachelor's degree,3,None,4,None,6
"Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",29-9098,59.4,64.1,4.7,7.9,3.5,"49,850",Postsecondary nondegree award,5,None,4,None,6
Farm and home management educators    * 4-H Youth Development Specialist* Agricultural Agent* Agricultural Extension Educator* Extension Service Advisor* Family Resource Management Specialist* Family and Consumer Sciences Extension Agent* Farm Business Management Agent* Farm Management Specialist* Feed Management Advisor* Home Economics Expert,25-9021,10.4,10,-0.4,-3.9,0.8,"49,710",Master's degree,2,None,4,None,6
Marriage and family therapists    * Child and Family Counselor* Couples Therapist* Family Counselor* Family Therapist* Marriage Counselor* Marriage Therapist* Relationship Counselor,21-1013,66.2,80.9,14.8,22.3,7.9,"49,610",Master's degree,2,None,4,Internship/residency,1
"First-line supervisors of landscaping, lawn service, and groundskeeping workers    * Gardening Supervisor* Greenskeeper Supervisor* Grounds Crew Supervisor* Grounds Foreman* Grounds Maintenance Supervisor* Head Greenskeeper* Horticultural Services Supervisor* Landscape Installation Foreman* Turf and Grounds Supervisor",37-1012,170.7,190.1,19.4,11.4,18.9,"49,370",High school diploma or equivalent,7,Less than 5 years,2,None,6
"Rail yard engineers, dinkey operators, and hostlers    * Coal Tram Driver* Dinkey Driver* Dinkey Operator* Engine Hostler* Haulage Engine Operator* Railcar Switcher* Yard Hostler",53-4013,5.2,4.9,-0.4,-6.8,0.3,"49,330",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Medical equipment repairers    * BMET* Biomedical Electronics Technician* Biomedical Equipment Technician* Certified Biomedical Equipment Technician* Dental Equipment Mechanic* Dental Equipment Repairer* Durable Medical Equipment Repairer* Electromedical Equipment Technician* Radiology Equipment Servicer* Surgical Instrument Mechanic,49-9062,53.9,56.7,2.8,5.1,5.4,"49,280",Associate's degree,4,None,4,Moderate-term on-the-job training,4
Chemical technicians    * Assayer* Chemical Laboratory Technician* Chemical Technician* Inorganic Chemical Technician,19-4031,68.1,70,1.9,2.8,6.3,"49,260",Associate's degree,4,None,4,Moderate-term on-the-job training,4
Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist,29-1128,19.8,22.1,2.2,11.3,1.4,"49,170",Bachelor's degree,3,None,4,None,6
Chemical equipment operators and tenders    * Acid Purification Equipment Operator* Chemical Machine Tender* Chemical Process Equipment Operator* Chemical Processor* Chemical Treatment Operator,51-9011,88.5,90,1.5,1.7,8.7,"49,130",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Reinforcing iron and rebar workers    * Post Tensioning Ironworker* Rebar Worker* Reinforcing Steel  Worker* Rod Buster* Steel Rod Buster* Steel Tier,47-2171,18.8,19.8,0.9,5,2.6,"49,100",High school diploma or equivalent,7,None,4,Apprenticeship,2
Operating engineers and other construction equipment operators    * Angle Dozer Operator* Blade Grader Operator* Bulldozer Operator* Ditching Machine Operating Engineer* Grader Operator* Motor Grader Operator* Scraper Operator* Steam Shovel Operating Engineer* Steam Shovel Operator,47-2073,418,434.9,16.9,4,43.9,"48,980",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Security and fire alarm systems installers    * Alarm Adjuster* Alarm Technician* Burglar Alarm Installer* Fire Alarm Installer* Fire Alarm Technician* Home Security Alarm Installer,49-2098,76.3,84.1,7.8,10.3,8.8,"48,970",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Real estate sales agents    * Agricultural Real Estate Agent* Apartment Rental Agent* Industrial Real Estate Agent* Land Sales Agent* Right of Way Agent,41-9022,376.5,385.2,8.7,2.3,32.4,"48,930",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Heating, air conditioning, and refrigeration mechanics and installers    * Air Conditioning Service Technician* Bulk Cooler Installer* Evaporative Cooler Installer* Furnace Converter* Furnace Fitter* Gas Furnace Installer* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic* Oil Burner Repairer* Oil Furnace Installer* Refrigeration Systems Installer* Stoker Installer",49-9021,376.8,391.9,15.1,4,34.2,"48,730",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,3
"Insulation workers, mechanical    * Boiler Coverer* Heat and Frost Insulator* Pipe Coverer* Pipe Insulator* Refrigeration Insulator* Sheet Metal Insulator",47-2132,27.3,28.6,1.2,4.5,2.7,"48,690",High school diploma or equivalent,7,None,4,Apprenticeship,2
Bus and truck mechanics and diesel engine specialists    * Biodiesel Engine Specialist* Diesel Engine Fitter* Diesel Service Technician* Marine Diesel Technician* School Bus Mechanic* Tractor Trailer Mechanic* Truck Engine Technician,49-3031,281.3,290.8,9.6,3.4,24.5,"48,500",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Athletic trainers    * Athletic Trainer* Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer,29-9091,32.1,37.3,5.2,16.2,2.2,"48,440",Bachelor's degree,3,None,4,None,6
Carpenters    * Beam Builder* Building Carpenter* Construction Carpenter* Counter Installer* Custom Wood Stair Builder* Finish Carpenter* Hardwood Floor Installer* House Carpenter* Wood Floor Layer,47-2031,"1,024.10","1,019.90",-4.2,-0.4,89,"48,330",High school diploma or equivalent,7,None,4,Apprenticeship,2
Postal service clerks    * Bulk Mail Clerk* Bulk Mail Technician* Parcel Post Clerk* Postal Clerk* Postal Service Clerk* Postal Service Window Clerk,43-5051,78.1,67.5,-10.5,-13.5,4.3,"48,330",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Surgical technologists    * Certified Surgical Technologist* OR Tech* Operating Room Technician* Surgical First Assistant* Surgical Scrub Technologist* Surgical Technologist,29-2055,111.3,118.9,7.6,6.8,9.3,"48,300",Postsecondary nondegree award,5,None,4,None,6
"First-line supervisors of farming, fishing, and forestry workers    * Animal Caretaker Supervisor* Aquacultural Worker Supervisor* Corn Crop Supervisor* Corral Boss* Cranberry Bog Supervisor* Farm Supervisor* Farrowing Manager* Feed Manager* Fish Hatchery Supervisor* Harvest Crew Supervisor* Harvest Manager* Logging Crew Supervisor* Picking Crew Supervisor* Planting Supervisor* Ranch Hand Supervisor",45-1011,53.2,52.6,-0.6,-1.1,6.9,"48,280",High school diploma or equivalent,7,Less than 5 years,2,None,6
Motorboat operators    * Launch Operator* Motorboat Operator* Outboard Motorboat Operator* Speedboat Driver* Speedboat Operator* Water Taxi Ferry Operator* Water Taxi Operator,53-5022,2.5,2.5,0,0.1,0.2,"48,260",Postsecondary nondegree award,5,Less than 5 years,2,None,6
"Production, planning, and expediting clerks    * Expeditor* Material Control Clerk* Material Expediter* Mill Recorder* Production Control Clerk* Production Control Coordinating Clerk* Production Control Coordinator* Production Scheduler* Work Ticket Distributor",43-5061,378.5,393.3,14.8,3.9,37.5,"48,260",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Recreational therapists    * CTRS* Certified Recreational Therapist* Certified Therapeutic Recreation Specialist* Drama Therapist* Recreational Therapist* Therapeutic Recreation Specialist,29-1125,19.9,21.6,1.7,8.3,1.2,"48,220",Bachelor's degree,3,None,4,None,6
"Education and childcare administrators, preschool and daycare    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director",11-9031,69.2,69.9,0.7,1,4.6,"48,210",Bachelor's degree,3,Less than 5 years,2,None,6
"Title examiners, abstractors, and searchers    * Abstract Searcher* Abstract Writer* Advisory Title Officer* Escrow Officer* Land Title Examiner* Lease Examiner* Lien Searcher* Title Agent* Title Checker* Title Examiner* Title Inspector* Title Investigator* Title Officer* Title Searcher",23-2093,63.6,61.9,-1.6,-2.6,4.8,"48,180",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Bailiffs    * Bailiff* City Bailiff* County Bailiff* Court Bailiff* Court Officer* Court Security Officer* Deputy Bailiff,33-3011,20.3,20.3,-0.1,-0.3,1.7,"47,830",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Embalmers    * Anatomical Embalmer* Arterial Embalmer* Embalmer Apprentice* Licensed Embalmer* Restorative Art Embalmer,39-4011,3.9,3.6,-0.3,-7.6,0.5,"47,760",Associate's degree,4,None,4,Long-term on-the-job training,3
Water and wastewater treatment plant and system operators    * Industrial Waste Treatment Technician* Lead Sewage Plant Operator* Liquid Waste Treatment Plant Operator* Sewage Plant Operator* Waste Treatment Operator* Wastewater Operator* Water Plant Operator* Water Treatment Technician,51-8031,126.4,121,-5.4,-4.2,9.2,"47,760",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Media and communication workers, all other    * Stage Technician",27-3099,35.2,38,2.8,8.1,3.6,"47,580",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Maintenance workers, machinery    * Crane Oiler",49-9043,73.2,77.7,4.5,6.1,6.4,"47,520",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Social science research assistants    * City Planning Aide* Economic Research Assistant* Economist Research Assistant* Historian Research Assistant* Political Science Research Assistant* Psychologist Research Assistant* Sociology Research Assistant,19-4061,40.1,42.4,2.3,5.8,4.8,"47,510",Bachelor's degree,3,None,4,None,6
Licensed practical and licensed vocational nurses    * LP Nurse* LPN* LVN* Licensed Practical Nurse* Licensed Vocational Nurse* Pediatric Licensed Practical Nurse* Triage Licensed Practical Nurse,29-2061,721.7,787.4,65.7,9.1,58.4,"47,480",Postsecondary nondegree award,5,None,4,None,6
Traffic technicians    * Highway Traffic Control Technician* Traffic Engineering Technician* Traffic Signal Technician* Transportation Planning Technician* Transportation Technician,53-6041,7.7,8.2,0.5,6,0.8,"47,480",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Child, family, and school social workers    * C-CYFSW* Certified Children, Youth, and Family Social Worker* Child Abuse Worker* Child Protective Services Social Worker* Child Protective Services Specialist* Child Welfare Social Worker* Child Welfare Worker* Child and Family Services Worker* Family Preservation Caseworker* Family Preservation Worker* Family Service Caseworker* Foster Care Social Worker* Foster Care Worker* School Social Worker",21-1021,342.5,382.6,40.1,11.7,34.9,"47,390",Bachelor's degree,3,None,4,None,6
Legal secretaries and administrative assistants    * Accredited Legal Secretary* Certified Legal Secretary Specialist* Law Secretary* Legal Administrative Assistant,43-6012,171.8,133.8,-38,-22.1,11.8,"47,300",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Dredge operators    * Dredge Deckhand* Dredge Engineer* Dredge Mate* Dredge Operator* Dredger,53-7031,1.6,1.7,0.1,4.5,0.2,"47,040",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Derrick operators, oil and gas    * Derrick Operator* Gas Derrick Operator* Oil Derrick Operator* Rotary Derrick Operator* Well Service Derrick Worker",47-5011,12,15.7,3.7,30.5,2,"46,990",No formal educational credential,8,None,4,Short-term on-the-job training,5
"Patternmakers, metal and plastic    * Metal Patternmaker",51-4062,3.1,2.8,-0.3,-8.4,0.2,"46,910",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Service unit operators, oil and gas    * Oil Well Fishing-Tool Technician* Well Service Pump Equipment Operator* Well Service Rig Operator* Well Services Operator* Well Servicing Rig Operator",47-5013,51.7,63.6,11.8,22.9,8.1,"46,740",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Mental health and substance abuse social workers    * Community Mental Health Social Worker* Drug Abuse Social Worker* Psychiatric Social Worker* Psychotherapist Social Worker,21-1023,123.2,143.8,20.7,16.8,13.4,"46,650",Master's degree,2,None,4,Internship/residency,1
"Eligibility interviewers, government programs    * Medicare Interviewer* Public Housing Interviewer* Social Security Benefits Interviewer* Unemployment Benefits Claims Taker* Welfare Interviewer",43-4061,147.5,153.1,5.7,3.8,13.7,"46,590",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Environmental science and protection technicians, including health",19-4042,34.7,37.6,2.9,8.4,4.3,"46,540",Associate's degree,4,None,4,None,6
Choreographers    * Choreographer* Dance Director* Dance Master,27-2032,5.5,6.3,0.8,14,1,"46,330",High school diploma or equivalent,7,5 years or more,1,Long-term on-the-job training,3
"News analysts, reporters, and journalists",27-3023,52,46.2,-5.8,-11.2,4.3,"46,270",Bachelor's degree,3,None,4,None,6
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",47-5097,25.3,27.3,2,7.8,3,"46,250",High school diploma or equivalent,7,Less than 5 years,2,Long-term on-the-job training,3
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,319.4,398.4,79,24.7,39.4,"46,240",Bachelor's degree,3,None,4,None,6
Payroll and timekeeping clerks    * Flight Crew Time Clerk* Payroll Bookkeeper* Personnel Scheduler* Time Clerk* Time and Attendance Clerk* Timekeeper,43-3051,149.8,143.1,-6.7,-4.5,13.7,"46,180",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tire builders    * Auto Tire Recapper* Retreader* Tire Finisher* Tire Molder* Tire Retreader,51-9197,21,21.1,0.1,0.5,1.9,"46,010",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Credit counselors    * Credit Counselor* Debt Management Counselor* Financial Assistance Advisor* Loan Counselor,13-2071,35.6,38.3,2.7,7.6,2.9,"45,950",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Audio and video technicians    * Audio-Visual Production Specialist* Event AV Operator* Event Crew Technician* Multimedia Production Assistant* Video Control Operator* Video Equipment Technician* Video Production Assistant,27-4011,91.8,103.1,11.3,12.3,10.8,"45,910",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician,19-4021,87.5,91.8,4.3,4.9,9.4,"45,860",Bachelor's degree,3,None,4,None,6
Drywall and ceiling tile installers    * Acoustical Ceiling Installer* Drywall Applicator* Drywall Finisher* Drywall Hanger* Drywall Installer* Drywall Sander* Drywall Stripper* Drywall Worker* Sheet Rock Applier* Sheet Rock Hanger* Sheet Rock Installer* Sheet Rock Worker,47-2081,125.1,125.6,0.5,0.4,10.1,"45,700",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Engine and other machine assemblers    * Aircraft Engine Assembler* Assembling Motor Builder* Clutch Housing Assembler* Engine Builder* Gas Turbine Assembler* Generator Assembler* Jet Engine Assembler* Machine Builder* Sewing Machine Assembler* Steam Turbine Assembler* Truck Transmission Assembler* Truck Transmission Builder,51-2031,45.9,39,-7,-15.2,3.2,"45,660",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Forest and conservation technicians,19-4071,21.2,21.3,0.1,0.6,2.3,"45,500",Associate's degree,4,None,4,None,6
Agricultural inspectors    * Cattle Examiner* Cattle Inspector* Grain Sampler* Meat and Poultry Inspector* Milk Tester* Wheat Inspector,45-2011,15.2,15.5,0.3,1.8,2.2,"45,490",Bachelor's degree,3,None,4,Moderate-term on-the-job training,4
Plasterers and stucco masons    * Dry Plasterer* Journey Level Plasterer* Molding Plasterer* Ornamental Plasterer* Plasterer Apprentice* Stucco Plasterer* Stucco Worker* Swimming Pool Plasterer,47-2161,27.7,28.8,1.1,4.1,2.3,"45,440",No formal educational credential,8,None,4,Long-term on-the-job training,3
Desktop publishers    * DTP Operator* Desktop Publisher* Desktop Publishing Specialist* Electronic Console Display Operator* Electronic Imager* Electronic Pagination System Operator* Electronic Publisher* Electronic Publishing Specialist,43-9031,10.4,8.4,-2,-19,0.8,"45,390",Associate's degree,4,None,4,Short-term on-the-job training,5
Forest fire inspectors and prevention specialists    * Environmental Protection Fire Control Officer* Fire Control Officer* Fire Operations Forester* Fire Ranger* Forest Fire Control Officer* Forest Fire Officer* Wildfire Prevention Specialist* Wildland Fire Operations Specialist,33-2022,2.3,2.8,0.5,24.3,0.3,"45,270",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Heavy and tractor-trailer truck drivers    * Auto Carrier Driver* Cement Truck Driver* Concrete Mixer Driver* Concrete Mixer Truck Driver* Fuel Truck Driver* Garbage Truck Driver* Line Haul Driver* Logging Truck Driver* Moving Van Driver* Over-the-Road Driver* Semi-Truck Driver* Tanker Driver* Tow Truck Operator,53-3032,"2,029.90","2,060.50",30.6,1.5,209.2,"45,260",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,5
Correctional officers and jailers    * Certified Detention Deputy* Convict Guard* Correction Officer* Correctional Guard* Correctional Sergeant* Detention Deputy* Detention Officer* Jail Guard* Juvenile Corrections Officer* Penal Officer* Prison Guard* Prison Officer,33-3012,442,408.9,-33.1,-7.5,33,"45,180",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Fabric and apparel patternmakers    * Clothing Patternmaker* Embroidery Patternmaker* Fabric Pattern Grader,51-6092,6,5.4,-0.7,-11.4,0.6,"45,070",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Pump operators, except wellhead pumpers    * Acid Pump Operator* Brewery Pumper* Concrete Pump Operator* Fluid Pump Operator",53-7072,10.5,11.5,1,9.7,1.2,"45,040",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Surveying and mapping technicians    * Cartographic Aide* Cartographic Technician* Field Map Technician* GIS Mapping Technician* Geophysical Prospecting Surveying Technician* Mapping Technician* Mineral Surveying Technician* Surveying Technician* Topography Technician,17-3031,58.4,58.8,0.4,0.7,6.4,"45,010",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Solar photovoltaic installers    * PV Installer* PV Panel Installer* Photovoltaic (PV) Installation Technician* Solar PV Installer,47-2231,12,18.1,6.1,50.5,2.3,"44,890",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Cement masons and concrete finishers    * Cement Mason* Cement Patcher* Concrete Finisher* Concrete Floor Installer* Concrete Mason* Concrete Smoother* Concrete Swimming Pool Installer,47-2051,200.4,196.4,-3.9,-2,16.8,"44,810",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Excavating and loading machine and dragline operators, surface mining",47-5022,46.1,47.4,1.3,2.9,5.1,"44,800",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Fallers    * Lumberjack* Pulpwood Cutter* Timber Cutter* Timber Faller* Timber Feller,45-4021,7.2,6,-1.2,-16.7,0.8,"44,650",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Glaziers    * Leaded Glass Installer* Plate Glass Installer* Stained Glass Glazier* Stained Glass Installer* Stained Glass Joiner* Window Glazier,47-2121,52.8,54.8,2.1,3.9,5.4,"44,630",High school diploma or equivalent,7,None,4,Apprenticeship,2
Museum technicians and conservators    * Art Conservator* Art Preparator* Conservation Technician* Ethnographic Materials Conservator* Museum Exhibit Technician* Objects Conservator* Paintings Conservator* Paper Conservator* Textile Conservator,25-4013,14.8,16.5,1.7,11.6,1.8,"44,430",Bachelor's degree,3,None,4,None,6
Machinists    * Automotive Machinist* CNC Machinist* Gear Machinist* Manual Lathe Machinist* Precision Machinist* Production Machinist* Tool Room Machinist,51-4041,388.1,404.4,16.3,4.2,38,"44,420",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Floor layers, except carpet, wood, and hard tiles    * Composition Floor Layer* Cork Floor Installer* Laminate Floor Installer* Linoleum Installer* Resilient Tile Installer* Shock-Absorption Floor Layer* Vinyl Flooring Installer* Vinyl Installer",47-2042,22.9,25.2,2.3,9.9,2.2,"44,240",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
"Electric motor, power tool, and related repairers    * AC/DC Rewinder* Armature Rewinder* Battery Repairer* Dynamo Repairer* Electric Motor Fitter* Electric Motor Rewinder* Electrical Parts Reconditioner",49-2092,17.9,18.6,0.7,4.1,1.9,"44,070",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,4
Hazardous materials removal workers    * Asbestos Abatement Worker* Asbestos Remover* Decontamination Worker* Hazard Waste Handler* Hazmat Technician* Irradiated Fuel Handler* Lead Abatement Worker* Radiological Control and Safety Technician,47-4041,45.3,49,3.7,8.2,5.6,"43,900",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Directors, religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director",21-2021,157.5,162.7,5.2,3.3,17.7,"43,860",Bachelor's degree,3,Less than 5 years,2,None,6
"Community and social service specialists, all other    * Community Organization Worker* Veterans Service Officer",21-1099,105.2,117.6,12.4,11.7,11.8,"43,790",Bachelor's degree,3,None,4,None,6
Cargo and freight agents    * Cargo Agent* Cargo Router* Freight Agent* Freight Shipping Agent* Ramp Service Agent,43-5011,97.2,102.6,5.4,5.5,9.1,"43,740",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Automotive body and related repairers    * Auto Body Customizer* Auto Body Technician* Auto Body Worker* Auto Bumper Straightener* Body Shop Worker* Body and Frame Technician* Car Refinisher* Truck Body Repairer* Vehicle Body Sander,49-3021,155.5,159.9,4.4,2.9,13.6,"43,580",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
Sailors and marine oilers    * Able Seaman* Deck Cadet* Deck Hand* Deckhand* Merchant Mariner* Merchant Seaman* Ordinary Seaman* Sailor* Vessel Ordinary Seaman,53-5011,31.9,32.2,0.3,0.9,3.6,"43,480",No formal educational credential,8,None,4,Moderate-term on-the-job training,4
Procurement clerks    * Procurement Assistant* Procurement Clerk* Purchasing Assistant* Purchasing Clerk,43-3061,68.5,63.4,-5.1,-7.5,5.3,"43,310",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Stonemasons    * Banker Mason* Curbstone Setter* Granite Setter* Memorial Mason* Monument Mason* Rock Mason* Stone Chimney Mason* Stone Layer* Stonemason,47-2022,16.8,16.3,-0.5,-3.2,1.4,"43,280",High school diploma or equivalent,7,None,4,Apprenticeship,2
"Milling and planing machine setters, operators, and tenders, metal and plastic    * Metal Milling Machine Operator* Metal Rotary Head Milling Machine Setup Operator* Plastic Thread Milling Machine Setup Operator",51-4035,19.2,15.6,-3.6,-18.6,1.2,"43,210",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tax preparers    * Corporate Tax Preparer* Income Tax Advisor* Income Tax Preparer* Licensed Tax Consultant* Tax Consultant* Tax Specialist,13-2082,88.4,87.9,-0.6,-0.6,9.1,"43,080",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
Tile and stone setters    * Ceramic Tile Installer* Hard Tile Setter* Marble Ceiling Installer* Parquet Floor Layer* Tile Installer* Tile Mason* Wood Tile Installer,47-2044,57,61.9,4.9,8.6,5.4,"43,050",No formal educational credential,8,None,4,Long-term on-the-job training,3
"Bus drivers, transit and intercity",53-3052,223.4,244.2,20.8,9.3,28.9,"43,030",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Counselors, all other    * AIDS Counselor* Anger Control Counselor* Grief Counselor* HIV Counselor* Sexual Assault Counselor",21-1019,29.1,32.9,3.8,13,3.1,"42,930",Master's degree,2,None,4,None,6
Animal breeders    * Animal Breeder* Cat Breeder* Dairy Husbandry Worker* Dog Breeder* Equine Breeder* Horse Breeder* Livestock Breeder* Poultry Inseminator* Stallion Manager,45-2021,8.4,8.1,-0.3,-3.2,1.2,"42,920",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
Massage therapists    * Deep Tissue Massage Therapist* Licensed Massage Practitioner* Licensed Massage Therapist* Massage Therapist* Masseur* Masseuse* Massotherapist* Rolfer* Swedish Masseuse,31-9011,166.7,201.1,34.4,20.6,22,"42,820",Postsecondary nondegree award,5,None,4,None,6
"Communications equipment operators, all other    * Communications Equipment Operator* Facsimile Machine Operator* Fax Machine Operator* Telegraph and Teletype Operator* Telex Operator",43-2099,3.6,3.9,0.3,9.1,0.4,"42,790",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",29-2098,341.6,370.6,29,8.5,27.8,"42,630",Postsecondary nondegree award,5,None,4,None,6
Watch and clock repairers    * Antique Clock Repairer* Chronometer Repairer* Clock Repair Technician* Clockmaker* Clocksmith* Horologist* Time Piece Repairer* Watchmaker,49-9064,3.2,2.1,-1,-32.3,0.1,"42,520",High school diploma or equivalent,7,None,4,Long-term on-the-job training,3
"Welders, cutters, solderers, and brazers    * Aluminum Welder* Arc Welder* Brazer* Certified Maintenance Welder* Cutting Torch Operator* Pipe Welder* Silver Solderer* Sub Arc Operator* Welder Fitter* Wire Welder",51-4121,438.9,452.5,13.6,3.1,43.4,"42,490",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,4
"Financial clerks, all other    * Bank Vault Attendant* Bank Vault Clerk* Bank Vault Custodian* Financial Operations Clerk* Financial Reserve Clerk* Safe Deposit Clerk* Safety Deposit Clerk* Vault Teller",43-3099,32.6,35.4,2.8,8.6,3.6,"42,420",High school diploma or equivalent,7,None,4,Short-term on-the-job training,5
